year,geocode,section_key,municipio,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios
2021,20220101_35016_D01_S027,35016_D01_S027,Las Palmas de Gran Canaria,8.8,3.7,25.6,6.7,55.3
2021,20220101_35016_D01_S029,35016_D01_S029,Las Palmas de Gran Canaria,10.0,1.7,27.4,8.3,52.7
2021,20220101_35016_D01_S030,35016_D01_S030,Las Palmas de Gran Canaria,8.9,2.5,30.7,5.4,52.5
2021,20220101_35016_D01_S031,35016_D01_S031,Las Palmas de Gran Canaria,11.4,2.1,23.1,7.7,55.8
2021,20220101_35016_D01_S032,35016_D01_S032,Las Palmas de Gran Canaria,6.0,8.8,23.6,4.6,57.1
2021,20220101_35016_D01_S033,35016_D01_S033,Las Palmas de Gran Canaria,6.4,4.0,27.4,5.0,57.3
2021,20220101_35016_D01_S034,35016_D01_S034,Las Palmas de Gran Canaria,6.3,5.3,24.8,4.6,59.0
2021,20220101_35016_D01_S035,35016_D01_S035,Las Palmas de Gran Canaria,6.3,7.6,20.1,5.2,60.8
2021,20220101_35016_D01_S036,35016_D01_S036,Las Palmas de Gran Canaria,7.1,7.5,21.1,7.3,57.1
2021,20220101_35016_D01_S037,35016_D01_S037,Las Palmas de Gran Canaria,6.7,2.8,28.8,5.7,56.0
2021,20220101_35016_D01_S038,35016_D01_S038,Las Palmas de Gran Canaria,8.4,6.1,26.6,5.7,53.1
2021,20220101_35016_D01_S039,35016_D01_S039,Las Palmas de Gran Canaria,5.9,6.7,18.4,4.5,64.5
2021,20220101_35016_D01_S040,35016_D01_S040,Las Palmas de Gran Canaria,7.6,7.7,25.5,4.1,55.1
2021,20220101_35016_D01_S041,35016_D01_S041,Las Palmas de Gran Canaria,9.0,4.4,24.0,4.9,57.7
2021,20220101_35016_D01_S042,35016_D01_S042,Las Palmas de Gran Canaria,8.9,2.0,26.6,6.3,56.2
2021,20220101_35016_D01_S043,35016_D01_S043,Las Palmas de Gran Canaria,7.1,4.5,28.7,3.9,55.8
2021,20220101_35016_D01_S044,35016_D01_S044,Las Palmas de Gran Canaria,10.1,1.6,37.6,5.2,45.4
2021,20220101_35016_D01_S045,35016_D01_S045,Las Palmas de Gran Canaria,5.6,7.7,27.9,3.8,55.0
2021,20220101_35016_D01_S046,35016_D01_S046,Las Palmas de Gran Canaria,3.2,22.2,18.8,2.2,53.7
2021,20220101_35016_D01_S047,35016_D01_S047,Las Palmas de Gran Canaria,2.0,32.0,14.5,1.0,50.5
2021,20220101_35016_D01_S048,35016_D01_S048,Las Palmas de Gran Canaria,2.7,29.0,16.3,1.6,50.5
2021,20220101_35016_D01_S049,35016_D01_S049,Las Palmas de Gran Canaria,4.1,7.6,14.8,4.6,68.9
2021,20220101_35016_D01_S050,35016_D01_S050,Las Palmas de Gran Canaria,4.3,19.3,22.0,2.2,52.2
2021,20220101_35016_D01_S051,35016_D01_S051,Las Palmas de Gran Canaria,9.5,2.0,26.4,7.1,55.0
2021,20220101_35016_D01_S052,35016_D01_S052,Las Palmas de Gran Canaria,10.4,3.3,28.2,6.2,51.9
2021,20220101_35016_D01_S053,35016_D01_S053,Las Palmas de Gran Canaria,6.7,4.9,27.2,5.4,55.8
2021,20220101_35016_D01_S054,35016_D01_S054,Las Palmas de Gran Canaria,7.8,8.4,20.9,5.0,57.9
2021,20220101_35016_D01_S055,35016_D01_S055,Las Palmas de Gran Canaria,4.0,20.2,20.4,2.8,52.7
2021,20220101_35016_D01_S056,35016_D01_S056,Las Palmas de Gran Canaria,2.5,15.9,11.2,2.4,68.1
2021,20220101_35016_D01_S057,35016_D01_S057,Las Palmas de Gran Canaria,4.5,7.8,12.4,4.3,71.0
2021,20220101_35016_D01_S058,35016_D01_S058,Las Palmas de Gran Canaria,6.6,8.4,20.9,4.1,60.0
