year,geo_actividad,section_key,municipio,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion
2021,20210101_38023_D05_S014,38023_D05_S014,San Cristóbal de La Laguna,38.0,49.0,43.0,1.0,486.0,616.0,78.8961038961039,14.935064935064934
2021,20210101_38023_D05_S015,38023_D05_S015,San Cristóbal de La Laguna,0.0,0.0,0.0,0.0,0.0,0.0,,
2021,20210101_38023_D06_S001,38023_D06_S001,San Cristóbal de La Laguna,8.0,34.0,36.0,0.0,510.0,588.0,86.73469387755102,11.904761904761905
2021,20210101_38023_D06_S002,38023_D06_S002,San Cristóbal de La Laguna,6.0,33.0,22.0,0.0,602.0,663.0,90.79939668174963,8.295625942684767
2021,20210101_38023_D06_S003,38023_D06_S003,San Cristóbal de La Laguna,4.0,46.0,29.0,0.0,420.0,499.0,84.16833667334669,15.030060120240481
2021,20210101_38023_D06_S004,38023_D06_S004,San Cristóbal de La Laguna,6.0,38.0,41.0,0.0,404.0,489.0,82.61758691206543,16.155419222903884
2021,20210101_38024_D01_S001,38024_D01_S001,"Llanos de Aridane, Los",66.0,62.0,27.0,7.0,810.0,965.0,83.93782383419689,9.22279792746114
2021,20210101_38024_D01_S002,38024_D01_S002,"Llanos de Aridane, Los",48.0,54.0,36.0,0.0,571.0,709.0,80.53596614950635,12.693935119887165
2021,20210101_38024_D01_S003,38024_D01_S003,"Llanos de Aridane, Los",69.0,54.0,33.0,2.0,485.0,641.0,75.66302652106084,13.57254290171607
2021,20210101_38024_D01_S004,38024_D01_S004,"Llanos de Aridane, Los",33.0,26.0,16.0,4.0,323.0,398.0,81.15577889447236,10.552763819095478
2021,20210101_38024_D01_S005,38024_D01_S005,"Llanos de Aridane, Los",47.0,23.0,17.0,0.0,398.0,485.0,82.0618556701031,8.24742268041237
2021,20210101_38024_D01_S006,38024_D01_S006,"Llanos de Aridane, Los",52.0,43.0,22.0,3.0,421.0,538.0,78.25278810408922,12.0817843866171
2021,20210101_38024_D01_S007,38024_D01_S007,"Llanos de Aridane, Los",46.0,59.0,28.0,2.0,453.0,586.0,77.3037542662116,14.84641638225256
2021,20210101_38024_D01_S008,38024_D01_S008,"Llanos de Aridane, Los",39.0,58.0,27.0,3.0,514.0,638.0,80.56426332288402,13.322884012539184
2021,20210101_38024_D02_S001,38024_D02_S001,"Llanos de Aridane, Los",46.0,44.0,19.0,1.0,418.0,527.0,79.3168880455408,11.954459203036054
2021,20210101_38024_D02_S002,38024_D02_S002,"Llanos de Aridane, Los",58.0,63.0,26.0,1.0,414.0,561.0,73.79679144385027,15.864527629233512
2021,20210101_38024_D03_S001,38024_D03_S001,"Llanos de Aridane, Los",87.0,72.0,34.0,5.0,590.0,783.0,75.35121328224777,13.537675606641123
2021,20210101_38024_D03_S002,38024_D03_S002,"Llanos de Aridane, Los",80.0,41.0,24.0,3.0,517.0,662.0,78.09667673716012,9.818731117824774
2021,20210101_38024_D03_S003,38024_D03_S003,"Llanos de Aridane, Los",41.0,44.0,17.0,3.0,317.0,419.0,75.6563245823389,14.558472553699284
2021,20210101_38025_D01_S001,38025_D01_S001,"Matanza de Acentejo, La",16.0,130.0,45.0,0.0,597.0,788.0,75.76142131979695,22.20812182741117
2021,20210101_38025_D01_S002,38025_D01_S002,"Matanza de Acentejo, La",10.0,68.0,33.0,1.0,487.0,598.0,81.43812709030101,16.889632107023413
2021,20210101_38025_D01_S003,38025_D01_S003,"Matanza de Acentejo, La",10.0,79.0,47.0,0.0,766.0,902.0,84.92239467849224,13.968957871396896
2021,20210101_38025_D01_S004,38025_D01_S004,"Matanza de Acentejo, La",13.0,77.0,50.0,0.0,723.0,863.0,83.77752027809966,14.716106604866743
2021,20210101_38025_D01_S005,38025_D01_S005,"Matanza de Acentejo, La",7.0,41.0,10.0,1.0,246.0,304.0,80.92105263157895,16.776315789473685
2021,20210101_38026_D01_S001,38026_D01_S001,"Orotava, La",11.0,32.0,21.0,1.0,481.0,545.0,88.25688073394495,9.724770642201834
2021,20210101_38026_D01_S002,38026_D01_S002,"Orotava, La",11.0,38.0,19.0,0.0,633.0,701.0,90.29957203994294,8.131241084165477
2021,20210101_38026_D01_S004,38026_D01_S004,"Orotava, La",10.0,28.0,26.0,1.0,577.0,641.0,90.01560062402496,8.424336973478939
2021,20210101_38026_D02_S001,38026_D02_S001,"Orotava, La",12.0,40.0,27.0,0.0,487.0,566.0,86.04240282685512,11.837455830388693
2021,20210101_38026_D02_S002,38026_D02_S002,"Orotava, La",6.0,36.0,23.0,0.0,382.0,447.0,85.4586129753915,13.19910514541387
