year,geocode,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta
2021,20220101_38004_D01_S002,38004_D01_S002,Arafo,1,2,35062.0,12342.0,16801.0,14350.0,1.170801393728223,2022
2021,20220101_38004_D01_S003,38004_D01_S003,Arafo,1,3,39797.0,14827.0,19036.0,17150.0,1.1099708454810495,2022
2021,20220101_38005_D01_S001,38005_D01_S001,Arico,1,1,26088.0,9887.0,13187.0,12250.0,1.0764897959183672,2022
2021,20220101_38005_D01_S002,38005_D01_S002,Arico,1,2,28734.0,10627.0,14554.0,12950.0,1.123861003861004,2022
2021,20220101_38005_D01_S003,38005_D01_S003,Arico,1,3,29046.0,11315.0,14780.0,13650.0,1.0827838827838827,2022
2021,20220101_38005_D01_S004,38005_D01_S004,Arico,1,4,29258.0,13275.0,16780.0,15050.0,1.1149501661129568,2022
2021,20220101_38005_D01_S005,38005_D01_S005,Arico,1,5,25533.0,10960.0,14176.0,12950.0,1.0946718146718146,2022
2021,20220101_38005_D01_S006,38005_D01_S006,Arico,1,6,30000.0,11199.0,15136.0,14350.0,1.054773519163763,2022
2021,20220101_38006_D01_S001,38006_D01_S001,Arona,1,1,34966.0,12434.0,16691.0,15050.0,1.1090365448504984,2022
2021,20220101_38006_D01_S002,38006_D01_S002,Arona,1,2,36386.0,12687.0,16559.0,12950.0,1.2786872586872586,2022
2021,20220101_38006_D01_S003,38006_D01_S003,Arona,1,3,31388.0,10960.0,15040.0,13650.0,1.101831501831502,2022
2021,20220101_38006_D01_S004,38006_D01_S004,Arona,1,4,28767.0,9899.0,13781.0,12950.0,1.0641698841698841,2022
2021,20220101_38006_D01_S005,38006_D01_S005,Arona,1,5,25903.0,9834.0,13017.0,11550.0,1.127012987012987,2022
2021,20220101_38006_D01_S006,38006_D01_S006,Arona,1,6,26363.0,11740.0,14142.0,11550.0,1.2244155844155844,2022
2021,20220101_38006_D01_S007,38006_D01_S007,Arona,1,7,21646.0,7594.0,10333.0,8750.0,1.1809142857142858,2022
2021,20220101_38006_D01_S008,38006_D01_S008,Arona,1,8,26142.0,10219.0,13401.0,11550.0,1.1602597402597403,2022
2021,20220101_38006_D01_S009,38006_D01_S009,Arona,1,9,27720.0,9979.0,13748.0,12950.0,1.0616216216216217,2022
2021,20220101_38006_D01_S010,38006_D01_S010,Arona,1,10,30277.0,10844.0,14846.0,14350.0,1.0345644599303137,2022
2021,20220101_38006_D01_S011,38006_D01_S011,Arona,1,11,27479.0,10638.0,13942.0,10850.0,1.2849769585253457,2022
2021,20220101_38006_D01_S012,38006_D01_S012,Arona,1,12,26325.0,8670.0,12407.0,11550.0,1.0741991341991342,2022
2021,20220101_38006_D01_S013,38006_D01_S013,Arona,1,13,22568.0,7460.0,10668.0,10150.0,1.0510344827586207,2022
2021,20220101_38006_D01_S014,38006_D01_S014,Arona,1,14,26902.0,10820.0,13825.0,11550.0,1.196969696969697,2022
2021,20220101_38006_D01_S015,38006_D01_S015,Arona,1,15,30983.0,12081.0,16034.0,12950.0,1.238146718146718,2022
2021,20220101_38006_D01_S016,38006_D01_S016,Arona,1,16,19673.0,9497.0,12033.0,10150.0,1.1855172413793102,2022
2021,20220101_38006_D01_S017,38006_D01_S017,Arona,1,17,27037.0,10914.0,13975.0,11550.0,1.20995670995671,2022
2021,20220101_38006_D01_S018,38006_D01_S018,Arona,1,18,23489.0,8051.0,11240.0,9450.0,1.1894179894179895,2022
